"SourceFile","AtlasPage","CellIndex","Row","Column","Width","Height","SHA256","CanonicalVisualSource","ExactDuplicate"
"566.png","9","58","8","2","32","32","EEA8C63CEE68EA2B572E9D6CC96EF0E4FD0BF17B9AB9AF1CE6B0F59B0F7FAFD6","566.png","False"
"567.png","9","59","8","3","32","32","E409DB7D1C8250B97232594C7AFD6E8B5F630835397C95744145C97718001EAA","567.png","False"
"568.png","9","60","8","4","32","32","543BC2E955D218FE117BA452F5E49869F885DCF801C0E0FF622EF79D244C47AF","568.png","False"
"569.png","9","61","8","5","32","32","1E89090E33B0B15162245163E4C2F8CC2D133EEB6FC3CDF2AECE48A2C36A77B4","569.png","False"
"570.png","9","62","8","6","32","32","2C38E708828F13B4E395D9B0CA28679CF3CD3DFA308D34959388216916588562","515.png","True"
"571.png","9","63","8","7","32","32","0658AD9D0944ED469E41AD638519C2D967A0654D3AE0C4295CF12CBD889F4C7F","562.png","True"
"572.png","9","64","8","8","32","32","C9C766629B85CE1EC349DB722DBB244430F9B6F916D45350C823C7A9DB86FAAA","558.png","True"
"573.png","10","1","1","1","32","32","51AEDC18C3293243E0AA47091340A0F677BF5D9F473EA66CE15C85EDED072D4C","573.png","False"
"574.png","10","2","1","2","32","32","F9FA0FBB6B6D619E67DAAB155EF9EF56FCC3E25C8FB07E2F367BA5DF649E4508","574.png","False"
"575.png","10","3","1","3","32","32","5CACD32B67834CC075BDCAFFDD0B1E327A840A46C8E623DFA65113D060B3501B","575.png","False"
"576.png","10","4","1","4","32","32","674213D28D2E5C01CB83AF66FDCBB5C4BA0074B8BCE4795DE6A7D45D8683F43C","576.png","False"
"577.png","10","5","1","5","32","32","2C38E708828F13B4E395D9B0CA28679CF3CD3DFA308D34959388216916588562","515.png","True"
"578.png","10","6","1","6","32","32","1A1E20E04A241437473BC7C6522CF621BC86A1F6A313BE4B3E1FAF986FD9E8A5","578.png","False"
